ta;Ubike;Ibike;Ua;Ia1;Ia2;Ia3;Sa1;Sa2;Sa3;Din1;DMka;DZka;Ika;Din2;Temp1;Temp2;Bpos;DMhr;v;dzp;Temp3;Pbike;Pa1;Pa2;Pa3;s;FW;UF;Marke;ERR
25568;0,0;-0,02;42,01;-0,81;0,06;0,14;1085;0;0;0;13,93;23,8;63;32;254,0;254,0;0;0,24;4,8;9;90,5;-0,0;34,72;1,93;4,85;18,5;10,68;-0,0;0;0
25578;0,0;-0,02;42,01;-0,96;-0,0;0,01;1085;0;0;0;13,75;23,8;63;32;254,0;254,0;0;0,24;4,8;9;90,5;-0,0;34,26;0,17;0,46;18,5;10,74;-0,0;0;0
25588;0,0;-0,03;42,01;-0,79;0,0;0,08;1085;0;0;0;13,72;23,8;63;32;254,0;254,0;0;0,24;4,8;9;90,5;-0,0;34,19;0,04;2,77;18,5;10,81;-0,0;0;0
25598;0,0;-0,02;42,0;-0,73;0,03;0,02;1085;0;0;0;13,6;23,4;64;32;254,0;254,0;0;0,24;4,7;10;90,5;-0,0;33,33;1,09;0,69;18,54;10,87;-0,0;0;0
25608;0,0;-0,03;42,01;-1,09;0,01;0,14;1085;0;0;0;13,27;23,4;64;32;254,0;254,0;0;0,24;4,7;10;90,5;-0,0;32,51;0,46;4,85;18,54;10,93;-0,0;0;0
25618;0,0;-0,01;41,99;-1,02;0,0;0,17;1085;0;0;0;13,29;23,4;64;32;254,0;254,0;0;0,24;4,7;10;90,5;-0,0;32,55;0,04;5,77;18,54;10,99;-0,0;0;0
25628;0,0;-0,01;42,01;-0,89;0,02;0,3;1085;0;0;0;13,11;23,4;64;32;254,0;254,0;0;0,24;4,8;11;90,5;-0,0;32,13;0,67;10,17;18,57;11,06;-0,0;0;0
25638;0,0;-0,02;42,0;-0,88;0,01;0,21;1085;0;0;0;12,26;24,6;65;32;254,0;254,0;0;0,24;4,8;11;90,5;-0,0;31,59;0,46;6,93;18,57;11,12;-0,0;0;0
25648;0,0;-0,03;42,02;-0,83;0,01;0,14;1085;0;0;0;12,26;24,6;65;32;254,0;254,0;0;0,24;4,8;11;90,5;-0,0;31,59;0,46;4,85;18,57;11,18;-0,0;0;0
25658;0,0;-0,03;42,0;-0,82;-0,0;0,02;1085;0;0;0;12,0;24,6;65;32;254,0;254,0;0;0,24;4,8;12;90,5;-0,0;30,92;0,17;0,69;18,61;11,25;-0,0;0;0
25668;0,0;-0,02;42,01;-0,81;0,02;0,08;1050;0;0;0;12,5;23,4;66;32;254,0;254,0;0;0,24;4,8;12;90,5;-0,0;30,62;0,67;2,77;18,61;11,31;-0,0;0;0
25678;0,0;-0,03;41,99;-0,96;-0,01;0,01;1050;0;0;0;12,38;23,4;66;32;254,0;254,0;0;0,25;4,8;13;90,5;-0,0;30,34;0,38;0,23;18,65;11,38;-0,0;0;0
25688;0,0;-0,02;42,01;-0,69;0,05;0,15;1050;0;0;0;12,32;23,4;66;32;254,0;254,0;0;0,25;4,8;13;90,5;-0,0;30,19;1,51;5,08;18,65;11,45;-0,0;0;0
